date,aod550_filled,B1_filled,B2_filled,B3_filled,B4_filled,B5_filled,B6_filled,B7_filled,B8_filled,B8A_filled,B9_filled,B11_filled,B12_filled,AOT_filled,WVP_filled,no2_filled,so2_filled,co_filled,hcho_filled,o3_filled,ai_filled,temp,dew,humi,preci,press,wspeed,wdirn,surf_water,soil_water,evapo,so_rad,t_rad,lei_h,lei_l,blh,sin,cos,site
2026-01-18,0.1915163073023839,604.4239873015089,739.5176920328972,895.1721060595627,941.2031112126972,1269.4741521171622,1588.3554986345664,1915.9647941770752,1966.214922776363,1958.097884396694,2265.537721101948,1823.9861240914427,1333.317841843409,251.50548260866933,847.6233764757125,1.999541738845879e-05,0.00018821123,0.03205476627977041,0.0002603680124418563,0.11326991309391868,0.8970837353808137,11.4,5.62,67.6,0.0,90354.64,0.73,286.41,0.0,0.3596,-0.001852,16724116.0,21063528.0,2.4642,1.9876,145.79,0.3047192331091634,0.9524422234305676,pokhara
2026-01-19,0.2266583653218823,680.3304965646006,768.0499274817827,908.6190994768602,961.5809612272515,1246.3849083679293,1588.3554986345664,1947.6246340397367,2011.0286999269472,1946.61284727189,2264.598030812544,1815.3639530545927,1363.4207296719458,278.41263667131784,1046.2808327412743,2.189539936969441e-05,0.00063975534,0.03602873374010937,0.00029497364291731864,0.12137004515644405,0.35242813266543616,13.61,8.25,70.05,0.89,90369.65,0.32,303.42,0.0001,0.3551,-0.001834,16810592.0,21971300.0,2.4644,1.9905,195.39,0.321057654185271,0.9470596510722284,pokhara
2026-01-20,0.2401720969025744,670.0543125546073,757.6510678235057,894.4394492091736,931.9341988224987,1246.3849083679293,1589.044451099728,1947.8800917613805,2034.9804283542271,1958.9238358021698,2261.2338922441904,1755.716878189544,1356.8917181967224,282.8719908441385,1089.6540092569253,3.40688031222921e-05,0.00018821123,0.03354939494380357,0.00021489832981125932,0.12007054246575309,0.03411294027320966,13.83,8.89,72.1,5.53,90484.9,0.34,287.01,0.0003,0.3818,-0.001487,13626040.0,22682590.0,2.4646,1.9932,129.12,0.3373010691361842,0.9413968285264122,pokhara
2026-01-21,0.23733147454175604,680.3304965646006,775.5009439395624,914.2193219313687,957.403406791271,1271.3298517739713,1589.332018150041,1962.3020986251938,2037.7062988392067,2004.020920934121,2264.957227371262,1841.4841532844532,1380.8034456083324,272.0136791401396,1096.3840207624376,3.072569368160071e-05,0.00063975534,0.03160765924076107,3.4384862639298143e-05,0.12273172905925318,0.07770811983311954,14.07,8.89,71.01,0.86,90539.53,0.02,339.95,0.0002,0.3744,-0.00171,15825552.0,22772988.0,2.4647,1.996,165.87,0.3534446712740877,0.9354554315134164,pokhara
2026-01-22,0.2927478305059169,707.1499208881519,804.2944532459877,962.5283304728143,1025.8212854511578,1323.71119150517,1617.44095691762,1959.1524191055885,2026.4892317275437,2000.3697857644945,2232.552056515042,1908.4833567620844,1469.9074939708432,278.5970101173581,1067.4612790833528,3.443819534599527e-05,0.00018821123,0.0333753440523902,0.00012121920673933741,0.11538090917262976,-0.35511145385233034,14.03,9.25,72.94,0.96,90636.6,0.09,41.19,0.0001,0.3699,-0.001489,14421096.0,22926122.0,2.4648,1.9988,145.41,0.3694836834473831,0.9292372181882051,pokhara
2026-01-23,0.339845178933504,698.0460393088541,790.5941899685122,920.7946127726813,991.5440357701386,1284.4839685980598,1588.3554986345664,1949.760189039179,2024.000267460032,2026.6704653673646,2284.4994914989957,1863.5025743455997,1417.0655427004076,273.73946512848227,984.2724752929149,2.189539936969441e-05,0.00063975534,0.03630936841400593,0.00024158062146238419,0.11540282418523565,0.8970837353808137,12.43,7.07,69.83,0.67,90867.05,0.51,286.97,0.0001,0.3639,-0.001715,15778124.0,23445607.0,2.4651,2.0016,177.08,0.3854133594543256,0.9227440286201428,pokhara
2026-01-24,0.45476369311287645,368.30305275916567,447.1353850042279,646.1997027810663,628.5212871091893,961.5067176946411,1588.3554986345664,1831.0991995148438,2045.1635071093308,2094.0670595178203,1827.461676485178,1873.3487255918405,1320.4304172852753,631.232529384379,535.9845381087268,2.5841534276928223e-05,0.00073910103,0.036275904231041586,0.00012033975539980553,0.12566827105736922,0.700795331493405,12.47,6.17,65.48,0.78,90808.7,0.78,280.45,0.0002,0.3616,-0.00129,11335352.0,23380383.0,2.4652,2.0044,164.58,0.4012289854475009,0.9159777842484876,pokhara
2026-01-25,0.339845178933504,724.9050891491931,807.7334656720082,935.1694192907778,1017.3500971141124,1299.3377316929043,1588.3554986345664,1965.9498868382607,1986.115853202717,1986.9880653721386,2278.749519002556,1825.6156125587652,1424.7925665258858,271.87148006717763,926.5378201968767,2.5841534276928223e-05,0.0002953317,0.03811900094463862,9.309011027850369e-05,0.13018807915120054,-0.061384471539696284,11.04,5.75,69.87,1.03,90656.26,0.76,280.47,0.0002,0.3598,-0.00132,12257512.0,21846681.0,2.4654,2.0072,140.35,0.4169258813287287,0.908940487313808,pokhara
2026-01-26,0.299873675537878,701.907055923166,804.9900862152026,942.0722397655358,1015.6987687567574,1290.4621040153181,1588.3554986345664,1956.586756416146,2005.8364431690766,1968.691530086836,2302.649540880477,1870.0117456143246,1380.4727501210323,279.35606059494694,914.5220593290364,2.189539936969441e-05,0.00040960894,0.032156638817084124,0.00017124976840712878,0.11513432588943642,0.07770811983311954,12.28,6.07,65.83,0.0,90782.4,0.49,282.51,0.0001,0.3562,-0.00202,17319776.0,21343565.0,2.4656,2.01,179.08,0.4324994021339788,0.901634220265486,pokhara
2026-01-27,0.3102459798526971,762.7977228099672,815.9481669007189,962.7820360515456,1041.9708663101799,1309.5804591622766,1594.153666416558,2034.7749334750058,2046.7411575066626,2030.8331772689348,2305.5913232541047,1942.8460749525455,1456.3367641099042,288.0465648862621,1053.5887742609025,3.126615424530841e-05,0.00040960894,0.034299182510453975,0.0003850157428401535,0.1160851911317888,-0.010563647304625334,14.25,7.76,64.98,2.37,90812.12,0.29,286.1,0.0001,0.3491,-0.002031,17412828.0,23689904.0,2.4657,2.0127,170.15,0.4479449394078911,0.8940611451454876,pokhara
