date,aod550_filled,B1_filled,B2_filled,B3_filled,B4_filled,B5_filled,B6_filled,B7_filled,B8_filled,B8A_filled,B9_filled,B11_filled,B12_filled,AOT_filled,WVP_filled,no2_filled,so2_filled,co_filled,hcho_filled,o3_filled,ai_filled,temp,dew,humi,preci,press,wspeed,wdirn,surf_water,soil_water,evapo,so_rad,t_rad,lei_h,lei_l,blh,sin,cos,site
2026-01-20,0.18739844860767663,732.0522836936512,839.6036500605852,999.9674603996835,1167.7014871362899,1345.3262408605453,1525.1667881592396,1639.6736653156358,1702.1660486573935,1757.3276230057277,1731.2267018895823,1970.043686879267,1784.480699725297,161.28191511918624,933.9261581797455,4.777586814249035e-05,0.00027436225,0.029100866632724966,0.00010958156168623045,0.12011163271413097,0.4631805,10.63,3.29,60.47,0.01,83922.2,0.8,4.42,0.0,0.1584,-0.001301,16648372.0,23552472.0,2.1407,2.8727,407.28,0.3373010691361842,0.9413968285264122,kathmandu
2026-01-21,0.18037833802290817,777.9453882087814,838.299299914112,983.487492631197,1141.3262716038548,1319.7610053001213,1514.154432395886,1588.8217138550299,1673.2142820706122,1686.8912999211666,1679.6400111145776,1955.3331314690545,1700.16221125405,130.9348085427905,472.9109957312128,0.00010800295506682206,0.00027436225,0.03480379197253405,0.00030718145767757814,0.12018999610336432,0.51706594,10.28,4.84,68.97,0.0,83969.48,0.68,36.06,0.0,0.1565,-0.001246,16866528.0,23567810.0,2.1423,2.8733,295.23,0.3534446712740877,0.9354554315134164,kathmandu
2026-01-22,0.23823206447159037,824.7008910985977,916.5444338536122,1088.7298291238048,1227.5585821974464,1431.3344145190401,1593.5499307545329,1686.3408204780687,1779.8647587289638,1815.977837760763,1784.9128980055268,2107.376212466602,1861.2373594413964,154.54400282805898,954.8843976409673,5.872826030490297e-05,0.00033055033,0.03050748697598951,0.0001292919406174995,0.11994376375999645,0.27971226,10.11,6.58,78.67,0.01,84071.26,0.68,73.59,0.0,0.1552,-0.001085,15093640.0,25187576.0,2.1437,2.8739,271.49,0.3694836834473831,0.9292372181882051,kathmandu
2026-01-23,0.3683213267041028,864.6324148208059,934.2866193825016,1080.7703290370825,1219.3909573216768,1386.806369862555,1594.335718425686,1703.6750877407133,1743.3268851280964,1839.1492188845473,1820.765415140121,2066.1012468567146,1821.3614503704932,173.58792693941555,998.2047200653881,5.8342306986136284e-05,0.00027436225,0.03515718615895556,0.00015432934228445998,0.11524936769499336,0.67083424,9.99,6.29,77.79,0.73,84263.42,0.37,86.73,0.0001,0.1572,-0.000888,11394320.0,27122713.0,2.1453,2.8746,236.38,0.3854133594543256,0.9227440286201428,kathmandu
2026-01-24,0.37173205542536636,829.5381534880789,907.9454247295663,1063.6836840606866,1207.290118219691,1360.9863573151003,1585.759640434626,1686.6919653389634,1750.0906983849877,1813.5761087105445,1798.4391387788144,2030.717588333185,1782.0511718413395,160.2925355305269,931.7816048652323,5.471743884991277e-05,0.00041737818,0.04396022065080126,0.0001618296657560829,0.11944945336464512,0.5897995,10.53,5.35,70.34,0.05,84186.74,0.57,345.04,0.0001,0.1612,-0.000946,10918008.0,25443437.0,2.1468,2.8752,238.75,0.4012289854475009,0.9159777842484876,kathmandu
2026-01-25,0.24346448086346226,831.5645096902715,905.3735028601267,1049.3479519002972,1202.3094134286655,1369.838055109489,1547.1176115340586,1658.4796948557412,1719.493171431009,1789.3172552738326,1768.0430788704216,2025.28552643111,1815.5304196689865,170.76343016237195,897.4528619873075,6.07330020311107e-05,0.00027436225,0.036392822723991,0.0002899430831296653,0.12718005645705951,0.4631805,10.4,4.67,67.63,0.0,84033.71,0.57,25.68,0.0,0.1595,-0.001183,15957724.0,23897917.0,2.1484,2.8758,322.08,0.4169258813287287,0.908940487313808,kathmandu
2026-01-26,0.22613217999318883,758.5582826548527,882.5819394215072,1010.3912163096106,1152.9123563170895,1323.7333891085432,1498.2196544756807,1602.4724152864835,1656.0022500400448,1680.904878868884,1681.0118114349507,1950.9483874048594,1775.2192900788298,187.24919390645084,612.2404663585875,8.617281940726535e-05,0.0005983178,0.03033571477456448,0.00028959082746797543,0.1182549330091831,0.5897995,10.39,4.25,65.73,0.0,84176.9,0.48,25.17,0.0,0.1567,-0.001308,17558400.0,23482231.0,2.15,2.8764,289.68,0.4324994021339788,0.901634220265486,kathmandu
2026-01-27,0.17483904929585786,844.9247124671705,909.7271101862827,1063.4840880812446,1190.519508039903,1409.6759544416357,1584.241418300023,1696.5004086592792,1791.6236863464242,1842.3284208674008,1826.4422843997693,2160.9627515513184,1860.4490298389796,161.99028206362206,963.5726005744702,0.00012770491487156693,0.00067798625,0.036465892744491586,0.0002818916978133316,0.11844841720288127,0.34549376,11.58,5.5,66.26,0.0,84225.33,0.76,63.3,0.0,0.154,-0.001299,17171076.0,24864696.0,2.1514,2.877,244.74,0.4479449394078911,0.8940611451454876,kathmandu
2026-01-28,0.41538609609293636,916.7561488751696,945.0204818501047,1093.606699522873,1220.8357078222011,1444.6150354018248,1624.417327788522,1723.783025005219,1796.9440609647393,1887.0312951111919,1921.6139529283228,2148.944554386052,1844.4609909363046,207.19726126827564,1057.1508944597554,6.741025598169409e-05,0.0006299541,0.03578236025222019,0.000236592536852504,0.11994966904321047,-0.5252472,9.56,6.05,78.78,4.22,84130.26,0.16,319.6,0.0001,0.1859,-0.001161,8944600.0,26190967.0,2.153,2.8778,140.89,0.4632579225674917,0.88622350294858,kathmandu
2026-01-29,0.3694786596897278,1000.8952581264308,1089.2736182619738,1123.0527676257855,1191.8035349378345,1335.5748432249047,1483.9706293927613,1565.1080806941147,1577.2174196910585,1601.2326027900522,1603.2485939935548,1704.687277150206,1498.5257586338978,162.97606624936464,909.7844061784172,5.082792486324721e-05,0.00027436225,0.029347414340749958,0.00013847415058647512,0.12535082117839746,0.4631805,9.95,4.6,69.36,0.08,84038.11,0.56,2.06,0.0,0.1927,-0.001535,16835124.0,24290560.0,2.1546,2.8784,399.45,0.4784338202547012,0.8781236129591848,kathmandu
